Asin,UserName,Rating,Subject,ReviewDate,Review
B0CHXCXKPD,Amazon Customer,4.0 out of 5 stars,4.0 out of 5 starsGreat But Battery Life Not Very Good,"Reviewed in the United States on February 12, 2023","The Apple Watch is great and the features are very good.  However the battery life is not very good.  I have to recharge it every night.  I thought the battery would last at least a couple of days, but I have to charge it every night so I am unable to have it record my sleep patterns."
B0CHXCXKPD,Andrea,5.0 out of 5 stars,5.0 out of 5 starslove it,"Reviewed in the United States on August 4, 2023",Fast shipping!
B0CHXCXKPD,Richard P,4.0 out of 5 stars,4.0 out of 5 starsGotta Have an iPhone to Use It,"Reviewed in the United States on January 3, 2023","I did not know that one has to have an iPhone to set up the Apple watch.  Not being Apple people here, I was very disappointed to learn that I could not set it up using an android phone.  So I returned it to Amazon with absolutely no problem and got my refund in a couple of days!  Way to go Amazon!!!  So, I bought a FitBit from Amazon and my wife loves it."
B0CHXCXKPD,Mik49275,5.0 out of 5 stars,5.0 out of 5 starsExcellent product,"Reviewed in the United States on July 3, 2023",Love apple products and this watch is on point just like an other Apple product. 20 percent faster than the other comparisons
B0CHXCXKPD,Chrissy,4.0 out of 5 stars,4.0 out of 5 starsJust so you know,"Reviewed in the United States on December 27, 2022","I wish someone would’ve wrote that or they should let you know that you need a different thing that you plug in the wall. You can’t use the regular ones if they were to let me know I could’ve ordered it so I don’t know the answers to the other questions because I can’t charge it yet, but I’ll let you know when I do how it goes but just make sure you buy one of them"
B0CHXCXKPD,Nova Heitman,5.0 out of 5 stars,5.0 out of 5 starsI’m a fan,"Reviewed in the United States on July 19, 2023",Nothing I dislike. I’m very happy with my purchase
B0CHXCXKPD,D. J. Finch,5.0 out of 5 stars,"5.0 out of 5 starsUsed a cheapo electronic watch for years, got this for xmas, love it","Reviewed in the United States on February 7, 2023","Yes I do own an iphone but not a Apple maniac, had a electronic knockoff watch for the past few years and was given this for Xmas, very happy with it, linked to my phone so can dictate text messages when I have my hands full or my phone is somewhere in the houseDidnt get the Cellular version as the phone companies figure its another phone so charge you for another line *^#*@(* but for my needs its perfect, not really sure how many people need the cellular version, as long as you have wifi you dont really need it"
B0CHXCXKPD,faith1,5.0 out of 5 stars,5.0 out of 5 starsLove It!,"Reviewed in the United States on November 16, 2022","This is why I am most favorite purchases in a long time.  I love the Fitbit watch that my husband had  purchased for me several years ago, but it was time for an upgrade.  This watch is a good starter watch I think into the Apple series, especially for those like me or not tech savvy. . It comes with a lot of cool features for working out and a lot of programs that I’m still discovering.  Battery life doesn’t seem as long as my Fitbit however, because of all the cool features that it offers I understand why the charge speed he’s pretty fast.,  on a scale of 1 to 10 I am definitely at 10 with my purchase stay on satisfied."
B0CHXCXKPD,Julie Pothen,3.0 out of 5 stars,3.0 out of 5 starsDisappointed,"Reviewed in the United States on August 9, 2023",Very disappointed with the battery life. It only last 18 hours.
B0CHXCXKPD,Sue Z.,5.0 out of 5 stars,5.0 out of 5 starsReally cool my wife loves it,"Reviewed in the United States on March 23, 2023",Idk why it took this long to finally get one of these . So easy to set up. Looks good with the different band we got here on Amazon the apple bands are just way too much money for what they are. The battery life for my wife is OK it lasts more than a day but we charge it every day around the same time to make sure it doesn’t run out.
B0CHXCXKPD,Mike,5.0 out of 5 stars,5.0 out of 5 starsCool watch,"Reviewed in the United States on June 26, 2023",This was a gift for my wife but she seems to really like it!
